time,latitude,longitude,REGION,REGION_NAME,LOCATION,LOCATIONCODE,REA_SITEID,OCC_SITEID,DATASTATUSID,SERIALNUMBER,CAU_UNIT,CALCIFICATION_RATE_BY_UNIT,DAYS_IN_WATER,YEARS_IN_WATER,DEPLOYMENT_MISSION,DEPLOYMENT_DATE,DEPLOYMENT_YEAR,RECOVERY_MISSION,RECOVERY_DATE,RECOVERY_YEAR,accession_url
UTC,degrees_north,degrees_east,,,,,,,,,,g/cm/yr,days,years,,UTC,,,UTC,,
2014-03-15T00:00:00Z,24.89748,-80.61796,FLK,Florida Keys,Cheeca,FLK,FLK-04,NA,0,1074,FLK-04_1074,0.016,1110,3.04,FLK1,2014-03-15T00:00:00Z,2014,FLK2,2017-03-29T00:00:00Z,2017,https://accession.nodc.noaa.gov/0175693
2014-03-15T00:00:00Z,24.89748,-80.61796,FLK,Florida Keys,Cheeca,FLK,FLK-04,NA,0,786,FLK-04_786,0.051,1110,3.04,FLK1,2014-03-15T00:00:00Z,2014,FLK2,2017-03-29T00:00:00Z,2017,https://accession.nodc.noaa.gov/0175693
2014-03-15T00:00:00Z,24.89748,-80.61796,FLK,Florida Keys,Cheeca,FLK,FLK-04,NA,0,903,FLK-04_903,0.074,1110,3.04,FLK1,2014-03-15T00:00:00Z,2014,FLK2,2017-03-29T00:00:00Z,2017,https://accession.nodc.noaa.gov/0175693
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,St Thomas and Tortuga,Brewer's Bay,STT,STT-15,NA,0,-46,STT-15_-46,0.051,1142,3.13,STT1,2014-06-30T00:00:00Z,2014,STT2,2017-08-15T00:00:00Z,2017,https://accession.nodc.noaa.gov/0176063
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,St Thomas and Tortuga,Brewer's Bay,STT,STT-15,NA,0,-47,STT-15_-47,0.073,1142,3.13,STT1,2014-06-30T00:00:00Z,2014,STT2,2017-08-15T00:00:00Z,2017,https://accession.nodc.noaa.gov/0176064
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,St Thomas and Tortuga,Brewer's Bay,STT,STT-15,NA,0,-48,STT-15_-48,0.098,1142,3.13,STT1,2014-06-30T00:00:00Z,2014,STT2,2017-08-15T00:00:00Z,2017,https://accession.nodc.noaa.gov/0176065
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,St Thomas and Tortuga,Brewer's Bay,STT,STT-15,NA,0,-49,STT-15_-49,0.056,1142,3.13,STT1,2014-06-30T00:00:00Z,2014,STT2,2017-08-15T00:00:00Z,2017,https://accession.nodc.noaa.gov/0176066
2014-06-30T00:00:00Z,18.34402,-64.98453,STT,St Thomas and Tortuga,Brewer's Bay,STT,STT-15,NA,0,-50,STT-15_-50,0.092,1142,3.13,STT1,2014-06-30T00:00:00Z,2014,STT2,2017-08-15T00:00:00Z,2017,https://accession.nodc.noaa.gov/0176067
2015-07-21T00:00:00Z,24.61131,-82.8705,DT,Dry Tortugas,Dry Tortugas,DT,DT-15,NA,0,1052,DT-15_1052,0.089,1086,2.98,DT1,2015-07-21T00:00:00Z,2015,DT2,2018-07-11T00:00:00Z,2018,https://accession.nodc.noaa.gov/0260075
2015-07-21T00:00:00Z,24.61131,-82.8705,DT,Dry Tortugas,Dry Tortugas,DT,DT-15,NA,0,1079,DT-15_1079,0.138,1086,2.98,DT1,2015-07-21T00:00:00Z,2015,DT2,2018-07-11T00:00:00Z,2018,https://accession.nodc.noaa.gov/0260075
2015-07-21T00:00:00Z,24.61131,-82.8705,DT,Dry Tortugas,Dry Tortugas,DT,DT-15,NA,0,1123,DT-15_1123,0.065,1086,2.98,DT1,2015-07-21T00:00:00Z,2015,DT2,2018-07-11T00:00:00Z,2018,https://accession.nodc.noaa.gov/0260075
2015-07-21T00:00:00Z,24.61131,-82.8705,DT,Dry Tortugas,Dry Tortugas,DT,DT-15,NA,0,924,DT-15_924,0.081,1086,2.98,DT1,2015-07-21T00:00:00Z,2015,DT2,2018-07-11T00:00:00Z,2018,https://accession.nodc.noaa.gov/0260075
2015-07-21T00:00:00Z,24.61131,-82.8705,DT,Dry Tortugas,Dry Tortugas,DT,DT-15,NA,0,932,DT-15_932,0.096,1086,2.98,DT1,2015-07-21T00:00:00Z,2015,DT2,2018-07-11T00:00:00Z,2018,https://accession.nodc.noaa.gov/0260075
